data_version=fm-20260911-01 params_sha=6a1bb7f46402 window=320 比對 10 日（2026-09-01～2026-09-14）；repo 原料包 480 份（區間內 10 份）、參考交易日 10 日
2026-09-01  原料包 相同 | 分數 共同 5,835 列 不同 5,835 | diag 相同 | 歸類 ①0 ②0 ③0 ④0 ⑤0 ⑥0 ①連帶1944
    2026-09-03: ('tpex', 'mid', '2719') 欄 line_6: A=45.643571545411405 B=44.34104582861347
    2026-09-03: ('tpex', 'mid', '2724') 欄 line_6: A=36.18640426692196 B=36.0882697512172
    2026-09-03: ('tpex', 'mid', '2726') 欄 line_6: A=45.643571545411405 B=44.34104582861347
    2026-09-03: ('tpex', 'mid', '2729') 欄 line_6: A=45.643571545411405 B=44.34104582861347
    2026-09-03: ('tpex', 'mid', '2732') 欄 line_2: A=53.768623357001275 B=37.739217802979084
    2026-09-03: ('tpex', 'mid', '2734') 欄 line_6: A=45.643571545411405 B=44.34104582861347
    …另 7718 筆（--show 放大）
2026-09-04  原料包 相同 | 分數 共同 5,829 列 不同 5,829 | diag 相同 | 歸類 ①14 ②0 ③0 ④1928 ⑤0 ⑥0
    2026-09-04: ('tpex', 'mid', '1240') 欄 line_2: A=68.01839132775316 B=42.301886188174834
    2026-09-04: ('tpex', 'mid', '1259') 欄 line_3: A=47.77841388735219 B=48.09811657305759
    2026-09-04: ('tpex', 'mid', '1264') 欄 line_6: A=42.112831201570614 B=42.00716373240683
    2026-09-04: ('tpex', 'mid', '1268') 欄 line_3: A=45.34369145499793 B=45.90608534455496
    2026-09-04: ('tpex', 'mid', '1294') 欄 line_6: A=42.112831201570614 B=42.00716373240683
    2026-09-04: ('tpex', 'mid', '1295') 欄 line_6: A=42.112831201570614 B=42.00716373240683
    2026-09-04: ('tpex', 'mid', '1336') 欄 line_6: A=48.476576743176494 B=48.068786632503276
    2026-09-04: ('tpex', 'mid', '1565') 欄 line_6: A=39.09011155540615 B=38.877036015621854
    2026-09-04: ('tpex', 'mid', '1569') 欄 line_6: A=41.2651169718836 B=40.77829074115297
    2026-09-04: ('tpex', 'mid', '1570') 欄 line_3: A=23.085344162549916 B=23.241931812790146
    2026-09-04: ('tpex', 'mid', '1580') 欄 line_3: A=18.443250444562977 B=18.67777961204873
    2026-09-04: ('tpex', 'mid', '1584') 欄 line_6: A=43.445661775829876 B=43.3399943066661
    2026-09-04: ('tpex', 'mid', '1586') 欄 line_3: A=22.67617976645895 B=22.89351573552163
    2026-09-04: ('tpex', 'mid', '1591') 欄 line_6: A=39.940788436251154 B=39.496496414478855
    2026-09-04: ('tpex', 'mid', '1593') 欄 line_6: A=54.20810018578248 B=54.102432716618694
    2026-09-04: ('tpex', 'mid', '1595') 欄 line_6: A=50.375797799821015 B=50.27013033065723
    2026-09-04: ('tpex', 'mid', '1599') 欄 line_3: A=32.999559967562725 B=33.258231054820456
    2026-09-04: ('tpex', 'mid', '1742') 欄 line_6: A=44.63395824016438 B=44.5282907710006
    2026-09-04: ('tpex', 'mid', '1777') 欄 line_6: A=39.09011155540615 B=38.877036015621854
    2026-09-04: ('tpex', 'mid', '1780') 欄 line_6: A=42.112831201570614 B=42.00716373240683
    2026-09-04: ('tpex', 'mid', '1781') 欄 line_6: A=41.11647078916414 B=40.88785796779193
    2026-09-04: ('tpex', 'mid', '1784') 欄 line_6: A=39.09011155540615 B=38.877036015621854
    2026-09-04: ('tpex', 'mid', '1785') 欄 line_6: A=50.94806628102239 B=50.84239881185861
    2026-09-04: ('tpex', 'mid', '1788') 欄 line_6: A=41.11647078916414 B=40.88785796779193
    2026-09-04: ('tpex', 'mid', '1796') 欄 line_6: A=44.1113090843973 B=44.005641615233515
    2026-09-04: ('tpex', 'mid', '1799') 欄 line_6: A=39.09011155540615 B=38.877036015621854
    2026-09-04: ('tpex', 'mid', '1813') 欄 line_6: A=41.11647078916414 B=40.88785796779193
    2026-09-04: ('tpex', 'mid', '1815') 欄 line_6: A=48.476576743176494 B=48.068786632503276
    2026-09-04: ('tpex', 'mid', '2035') 欄 line_6: A=61.78110574462625 B=61.67543827546247
    2026-09-04: ('tpex', 'mid', '2061') 欄 line_6: A=50.38637786856211 B=50.28071039939833
    2026-09-04: ('tpex', 'mid', '2063') 欄 line_6: A=51.30439315507465 B=51.19872568591086
    2026-09-04: ('tpex', 'mid', '2064') 欄 line_6: A=41.25350350739802 B=41.147836038234246
    2026-09-04: ('tpex', 'mid', '2065') 欄 line_6: A=51.30439315507465 B=51.19872568591086
    2026-09-04: ('tpex', 'mid', '2066') 欄 line_3: A=24.077797225698525 B=24.341289979406135
    2026-09-04: ('tpex', 'mid', '2067') 欄 line_3: A=8.749445990660078 B=8.862340383796957
    2026-09-04: ('tpex', 'mid', '2070') 欄 line_3: A=52.10841424814535 B=52.35068163097448
    2026-09-04: ('tpex', 'mid', '2073') 欄 line_6: A=49.29563126416168 B=49.189963794997894
    2026-09-04: ('tpex', 'mid', '2221') 欄 line_6: A=43.445661775829876 B=43.3399943066661
    2026-09-04: ('tpex', 'mid', '2230') 欄 line_6: A=37.74454908705482 B=37.63888161789104
    2026-09-04: ('tpex', 'mid', '2235') 欄 line_3: A=39.47242092215633 B=39.733886552004705
    2026-09-04: ('tpex', 'mid', '2596') 欄 line_6: A=48.491403580913115 B=48.38573611174933
    2026-09-04: ('tpex', 'mid', '2640') 欄 line_6: A=44.036233204952794 B=43.93056573578901
