# d 校準報告  dump 2021-01-01～2023-06-30（603 日） data_version=fm-20260911-01 params_sha=a6a3f35cd1f0  p85 method=linear  閘門 15.0%  距離型容差 25%
# 鍵數：{'distance': 30, 'calibrate': 172, 'not_applicable': 90, 'persistence': 12}；有樣本的鍵 266／304；樣本合計 68,701,750、跳過 10,089,667
# clip_old%／clip_new%＝舊 d／新 d（p85÷3）下 |x−c|>3d 的比例；clip_eff%＝生效 d（見檔頭）下的比例；med!＝|median−c|>d_new；adopt＝距離型 |d_new−d_old|/d_old 超容差；gate＝clip_eff% > 閘門＋100/n（一個樣本的離散化餘裕；嚴格版見下方清單）；p85=0 者 d_eff 留空＝退化
category     key                                                               n       c    d_old       p85     d_new  clipO%  clipN%    d_eff  clipE%     median med! adopt gate
calibrate    market_index__twse__swing__4__D__margin_change                  603    0.00   2.0000    6.7678    2.2559   19.73   15.09   2.2559   15.09     0.4013          —     
calibrate    market_index__twse__swing__5__A__foreign_net_oi_change          603    0.00 5000.0000 10186.5000 3395.5000    5.64   15.09 3395.5000   15.09   182.0000          —     
calibrate    market_index__twse__swing__5__B__basis                          573    0.00   0.3000    0.3374    0.1125    2.97   15.01   0.1125   15.01     0.0081          —     
calibrate    market_index__twse__swing__6__A__sox_return                     603    0.00   3.5000    9.5623    3.1874   10.95   15.09   3.1874   15.09     0.5423          —     
calibrate    market_index__twse__swing__6__A__spx_return                     603    0.00   2.1000    4.5812    1.5271    6.63   15.09   1.5271   15.09     0.6797          —     
calibrate    market_index__twse__swing__6__B__usdtwd_change                  603    0.00   0.4200    1.3266    0.4422   16.75   15.09   0.4422   15.09     0.1085          —     
calibrate    stock__tpex__mid__1__A__revenue_accel                        469930    0.00  10.0000   54.2968   18.0989   30.35   15.00  18.0989   15.00    -1.1036          —     
calibrate    stock__tpex__mid__1__A__revenue_yoy                          472825    0.00  15.0000   61.1592   20.3864   23.36   15.00  20.3864   15.00     7.6488          —     
calibrate    stock__tpex__mid__1__B__eps_diff_over_price                  158921    0.00   2.0000    3.9184    1.3061    6.89   14.96   1.3061   14.96     0.7500          —     
calibrate    stock__tpex__mid__1__B__eps_yoy                              303964    0.00  20.0000  166.6667   55.5556   48.03   14.89  55.5556   14.89     6.7460          —     
calibrate    stock__tpex__mid__1__B__equity_qoq                                0    0.00   2.0000         —         —       —       —        —       —          —    —     —     
calibrate    stock__tpex__mid__1__B__gross_margin_qoq                     466943    0.00   1.0000    9.1353    3.0451   46.40   14.99   3.0451   14.99     0.0399          —     
calibrate    stock__tpex__mid__1__B__pretax_income_yoy                      4607    0.00  20.0000  167.2901   55.7634   53.14   14.83  55.7634   14.83   -15.6864          —     
calibrate    stock__tpex__mid__1__C__revenue_yoy_vs_industry              470251    0.00  10.0000   55.6878   18.5626   33.63   15.00  18.5626   15.00     0.0000          —     
calibrate    stock__tpex__mid__2__B__ma_long_slope                        480742    0.00   1.0000    2.2535    0.7512    6.67   15.00   0.7512   15.00     0.1937          —     
calibrate    stock__tpex__mid__3__A__excess_long                          481509    0.00   8.0000   23.4854    7.8285   14.40   15.00   7.8285   15.00    -0.8891          —     
calibrate    stock__tpex__mid__3__A__excess_short                         482915    0.00   5.0000   13.3518    4.4506   11.92   15.00   4.4506   15.00    -0.7219          —     
calibrate    stock__tpex__mid__3__B__excess_vs_industry                   472331    0.00   8.0000   21.8384    7.2795   12.79   15.00   7.2795   15.00     0.0000          —     
calibrate    stock__tpex__mid__3__C__excess_accel                         482234    0.00   5.0000   20.6381    6.8794   25.76   15.00   6.8794   15.00     0.6170          —     
calibrate    stock__tpex__mid__4__A__obv_slope                            482915    0.00   0.5000    0.4847    0.1616    0.01   15.00   0.1616   15.00     0.0447          —     
calibrate    stock__tpex__mid__4__A__updown_volume_ratio                  482727    0.00   0.3000    0.7319    0.2440    8.92   15.00   0.2440   15.00     0.1149          —     
calibrate    stock__tpex__mid__5__A__foreign_strength_long                478247    0.00   2.0000    6.5990    2.1997   16.93   15.00   2.1997   15.00     0.0000          —     
calibrate    stock__tpex__mid__5__A__foreign_strength_short               478390    0.00   3.0000    8.7256    2.9085   14.36   15.00   2.9085   15.00     0.0000          —     
calibrate    stock__tpex__mid__5__B__trust_strength_long                  478247    0.00   2.0000    0.0000    0.0000    1.55       —        —       —     0.0000          —     
calibrate    stock__tpex__mid__5__B__trust_strength_short                 478390    0.00   3.0000    0.0000    0.0000    1.06       —        —       —     0.0000          —     
calibrate    stock__tpex__mid__5__D__margin_scenario                      355769    0.00   5.0000   31.7073   10.5691   34.53   15.00  10.5691   15.00    -1.8642          —     
calibrate    stock__tpex__mid__5__E__short_sale_change                    410744    0.00   0.3000    0.2658    0.0886    2.35   15.00   0.0886   15.00     0.0000          —     
calibrate    stock__tpex__mid__6__B__industry_relative_return             482915    0.00   5.0000    6.0422    2.0141    0.26   14.98   2.0141   14.98    -0.7530          —     
calibrate    stock__tpex__short__1__A__revenue_accel                      469930    0.00  10.0000   54.2968   18.0989   30.35   15.00  18.0989   15.00    -1.1036          —     
calibrate    stock__tpex__short__1__A__revenue_yoy                        474146    0.00  20.0000   71.0840   23.6947   19.13   15.00  23.6947   15.00     7.0153          —     
calibrate    stock__tpex__short__2__B__ma_long_slope                      482775    0.00   0.5000    1.0217    0.3406    3.51   15.00   0.3406   15.00     0.0319          —     
calibrate    stock__tpex__short__3__A__excess_long                        483246    0.00   4.0000    9.2716    3.0905    9.03   15.00   3.0905   15.00    -0.5859          —     
calibrate    stock__tpex__short__3__A__excess_short                       483411    0.00   3.0000    6.5493    2.1831    8.23   15.00   2.1831   15.00    -0.3911          —     
calibrate    stock__tpex__short__3__B__excess_vs_industry                 474080    0.00   4.0000    8.5487    2.8496    8.21   15.00   2.8496   15.00     0.0000          —     
calibrate    stock__tpex__short__3__C__excess_accel                       483246    0.00   3.0000    9.8761    3.2920   17.55   15.00   3.2920   15.00     0.2062          —     
calibrate    stock__tpex__short__5__A__foreign_strength_long              478443    0.00   4.0000   11.3483    3.7828   13.80   15.00   3.7828   15.00     0.0000          —     
calibrate    stock__tpex__short__5__A__foreign_strength_short             478457    0.00   5.0000   13.7861    4.5954   13.12   15.00   4.5954   15.00     0.0000          —     
calibrate    stock__tpex__short__5__B__trust_strength_long                478443    0.00   4.0000    0.0000    0.0000    0.85       —        —       —     0.0000          —     
calibrate    stock__tpex__short__5__B__trust_strength_short               478457    0.00   5.0000    0.0000    0.0000    0.68       —        —       —     0.0000          —     
calibrate    stock__tpex__short__5__D__margin_scenario                    356632    0.00   5.0000   12.6802    4.2267   12.20   15.00   4.2267   15.00    -0.3802          —     
calibrate    stock__tpex__short__5__E__short_sale_change                  411930    0.00   0.3000    0.0945    0.0315    0.22   15.00   0.0315   15.00     0.0000          —     
calibrate    stock__tpex__short__6__B__industry_relative_return           483411    0.00   3.0000    2.7787    0.9262    0.18   15.00   0.9262   15.00    -0.4419          —     
calibrate    stock__tpex__swing__1__A__revenue_accel                      469930    0.00  10.0000   54.2968   18.0989   30.35   15.00  18.0989   15.00    -1.1036          —     
calibrate    stock__tpex__swing__1__A__revenue_yoy                        472825    0.00  15.0000   61.1592   20.3864   23.36   15.00  20.3864   15.00     7.6488          —     
calibrate    stock__tpex__swing__2__B__ma_long_slope                      482605    0.00   0.7000    1.9182    0.6394   11.42   15.00   0.6394   15.00     0.0636          —     
calibrate    stock__tpex__swing__3__A__excess_long                        482915    0.00   5.0000   13.3518    4.4506   11.92   15.00   4.4506   15.00    -0.7219          —     
calibrate    stock__tpex__swing__3__A__excess_short                       483246    0.00   4.0000    9.2716    3.0905    9.03   15.00   3.0905   15.00    -0.5859          —     
calibrate    stock__tpex__swing__3__B__excess_vs_industry                 473749    0.00   5.0000   12.2843    4.0948   10.58   15.00   4.0948   15.00     0.0000          —     
calibrate    stock__tpex__swing__3__C__excess_accel                       482915    0.00   4.0000   13.9238    4.6413   19.33   15.00   4.6413   15.00     0.3685          —     
calibrate    stock__tpex__swing__5__A__foreign_strength_long              478390    0.00   3.0000    8.7256    2.9085   14.36   15.00   2.9085   15.00     0.0000          —     
